id,customer_message,expected_intent,expected_escalation,expected_resolution,difficulty,notes,source_conversation_id
GS_113766,@6539 spent an hour trying to buy on line but your site keeps crashing!! #crapfriday @115821,,,,,,113766.0
GS_65903,"@115833 BBC Radio 4 Keeps dropping out using TuneIn. Amazon must redirect Radio 4 to another server until this is fixed. Come on Amazon, remember “Service”? #echonightmare",,,,,,65903.0
GS_111742,"@116090 Hi, I'm in Toronto. If I'm ordering a snow blower, which carrier will it ship out with? https://t.co/P40IbHmeUM",,,,,,111742.0
GS_75881,Fiz um pedido pelo site da @117086 ontem de noite/madrugada e hoje de manhã recebi uma mensagem dizendo que o pedido saiu para envio. Isso que eu chamo de eficiência.😍 👏,,,,,,75881.0
GS_49159,@115830 stop with the crazy excess packaging. #waste #environment https://t.co/24Ph7eyF6M,,,,,,49159.0
GS_22193,"@115850 Hi, prime was available for 599/- per year few days back. Can you remind me when it will be back?",,,,,,22193.0
GS_69935,"@115830 I get things delivered to work but your guys often deliver after hours (registered business address). Had a call from the neighbour this morning, my things had been left in his front garden. They'd not seen a courier and I had no card! Could've been rained on or nicked!",,,,,,69935.0
GS_38844,I signed up for Amazon Student Prime JUST IN TIME for school and Christmas. https://t.co/FmgJw2NklJ,,,,,,38844.0
GS_121037,@117634 How do i set it so my new dire HD 10 kindle wont download apps and movies i never asked it too? Washington post just downloaded on my device without my permission. Which is against the law in the United states... This is some low level sneaky shit.,,,,,,121037.0
GS_29662,@115833 my echo keeps telling me that I need to link my premium spotify account to play music from there but I have already done that. Can you help?,,,,,,29662.0
GS_121040,@AmazonHelp メッセージもしたのですが、米Amazon？からプライムの請求がきました。 使ってもなく登録すらしていないクレジットカードになぜか請求がきました。 米Amazonに問い合わせしようにも英語なのでわかりませんし、登録してないのでサインインもできません。どうしたらいいですか？,,,,,,121040.0
GS_20421,@115850 amazon stick from https://t.co/cvJQ06p7ve is authorized seller?,,,,,,20421.0
GS_89089,@115830 I am on a chat with your organisation... no one can explain why a current deal at £7.55 when added to my basket is charged at £13:99 ... I’m being advised 3rd party product &amp; you don’t control pricing! This is a Prime Deal.. can you explain? https://t.co/42NZs13YJA,,,,,,89089.0
GS_56854,@115821 what do you mean my package can't be delivered. I've had packages dropped off at the address before,,,,,,56854.0
GS_93738,@115821 since I pay for prime and had a guaranteed delivery date and it was not delivered by then so I get my money back?,,,,,,93738.0
GS_33310,"@117086 19/10 fiz 2compras no site de vcs e tive problema com as 2. No site não conseguiram solucionar, 1 quebrado e 1 ainda não entregue.",,,,,,33310.0
GS_47953,@115850 Why is the Indian Amazon Echo skill set limited? Ewelink is not showing up in the skill set!,,,,,,47953.0
GS_83428,@116313 「ほしい物リスト」の絞り込み機能で、「値下がりした商品」オプションがなくなったのが非常に不便に感じています。元に戻す予定はありませんか？,,,,,,83428.0
GS_108309,"@AmazonHelp Hallo, wieso steht beim Prime Versand bei euch ein Liefertermin am Dienstag 28.11.17 wenn man jetzt bestellt? Ich bin Prime Kunde. Danke und Gruß",,,,,,108309.0
GS_39558,"I got my refund from @115821 for my copy of odyssey, but was hit with a restocking fee because their delivery people can't do their job.",,,,,,39558.0
GS_65777,"When will @115830 dispatch my DVDs? 🙈 I’m not (that) impatient or anything, I just really want to finally have the boxset in my hands and mesmerizing this collection ❤️ https://t.co/ekR4bhdLLP",,,,,,65777.0
GS_53506,Nunca había tenido tan mala experiencia con @116875,,,,,,53506.0
GS_664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",,,,,,664.0
GS_122085,"@AmazonHelp how comes anything I go to order says the ""one day delivery"" date will be next monday?",,,,,,122085.0
GS_43706,"@AmazonHelp Hi Amazon, do you have an e-mail address I could send an e-mail to regarding a return?",,,,,,43706.0
GS_19469,"@AmazonHelp I was scammed. 6 orders, all sellers are gone and nothing send to me, how could I do now? how to stop my prime membership?",,,,,,19469.0
GS_18209,@115850. Thanks Joyeeta(customer service) for AMAZON service. Didn't opted for faster delivery still got it when i emailed you its urgent.,,,,,,18209.0
GS_124762,Amazonさん、流石にこの梱包は酷すぎる…畳まれてないし袋は上から被せただけで袋に入れられて無かったし、スカートしわしわなんですが… https://t.co/4DqKU1W9tC,,,,,,124762.0
GS_67434,"Oh yessss la petite livraison qui fait grave plaisir !! C'est mon jour de repos et je vais pouvoir me lancer dans la découverte d'Alrest, Merci @120533 😄 #XenobladeChronicles2 https://t.co/e1ObMG4mXm",,,,,,67434.0
GS_11085,@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,,,,,,11085.0
GS_103082,@AmazonHelp I tried to change my delivery address but have cancelled my order by mistake can I reinstate it??,,,,,,103082.0
GS_55052,@115850 Order ID: 171-7504339-9867535. return is complete and refund has issued. But i haven't received any amount till now.,,,,,,55052.0
GS_125297,"Até agora: 14 livros comprados 😍 TE AMO, @117086 🙈",,,,,,125297.0
GS_59581,I expected something TODAY and now my delivery is for tomorrow by 8PM @AmazonHelp,,,,,,59581.0
GS_21496,@115850 Got fake mobiles twice instead of my ordered One Plus 5.Its been 15days since I'm struggling.#Shame #fraud #OnePlus5 #AmazonIndia,,,,,,21496.0
GS_74557,一生さんもキスマイもすごい露出で全然追いつけてない…ていうかAmazonから荷物届かないしょぼーーーん！,,,,,,74557.0
