conversation_id,customer_message,agent_response,intent
1748.0,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,@116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2),UNLABELLED
2561.0,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,@116318 I'm sorry you didn't receive the refund amount you expected. Please check here for more info: https://t.co/I5rEOyBt2k ^BT,UNLABELLED
5789.0,"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",@117088 Apologies for this unpleasant experience. I'd like to take a closer look. 1/2 ^HD,UNLABELLED
8537.0,@115821 why do I pay for 2 day shipping and it's going on 4 days.,@117499 I'm sorry for the wait! Two-Day Shipping refers to transit speed in business days once an order's shipped. (1/2),UNLABELLED
9767.0,"Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821","@117789 Apologies for the delay in delivery of your order, Benish. We'd like to take a closer look. 1/2 ^HD",UNLABELLED
9784.0,"@115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o",@117791 We've emailed you in response to the details you shared earlier. Please reply on the same for further assistance. 1/2 ^MK,UNLABELLED
9812.0,@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,"@117798 Oh, no! Without providing personal/account information, could you tell us more about what's going on? ^DG",UNLABELLED
11404.0,そういえば、電熱ヒーターもどきをAmazonで買ってたな。寒くなったし試すか。(´ω｀) あったー😹えっ、…入らない😿 いや、でもヒーター部分は使えるかも❕❗❕ …縫い糸がケーブル貫通しとるやないかーい😂 まあ、400円だから…またなんか探そっと😸 皆さんも防寒対策お気をつけください🙋 https://t.co/b7tvSIEeGm,@118184 なお、マーケットプレイスの出品者が発送する商品の場合には、出品者毎にポリシーを設けているため、恐れ入りますが、出品者に直接お問い合わせください。出品者へのお問い合わせ方法はリンクよりご確認ください。https://t.co/ZXCXcbN3Tv TN,UNLABELLED
12511.0,@115850 why to you promise false discounts with wrong mrp ...the device I bought showed a mrp of 7999 when its actual mrp is 7499 https://t.co/1kqHQVHBcl,@118504 The prices on our website are determined by our sellers. And we keep updating our prices as per the data we receive 1/2 ^MK,UNLABELLED
13165.0,"@AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !",@118701 We've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^GK,UNLABELLED
