id,customer_message,expected_intent,expected_escalation,expected_resolution,difficulty,notes,source_conversation_id
GS_113766,@6539 spent an hour trying to buy on line but your site keeps crashing!! #crapfriday @115821,general_inquiry,true,Customer should be escalated to technical support due to website functionality issue,medium,Website technical issue requires human investigation,113766.0
GS_65903,"@115833 BBC Radio 4 Keeps dropping out using TuneIn. Amazon must redirect Radio 4 to another server until this is fixed. Come on Amazon, remember “Service”? #echonightmare",prime_video_issue,true,Technical streaming issue requires investigation by support team,hard,Complex technical streaming issue,65903.0
GS_111742,"@116090 Hi, I'm in Toronto. If I'm ordering a snow blower, which carrier will it ship out with? https://t.co/P40IbHmeUM",general_inquiry,false,Provide information about shipping carriers for Toronto region,easy,Shipping information request,111742.0
GS_75881,Fiz um pedido pelo site da @117086 ontem de noite/madrugada e hoje de manhã recebi uma mensagem dizendo que o pedido saiu para envio. Isso que eu chamo de eficiência.😍 👏,general_inquiry,false,Thank customer for positive feedback and offer assistance,easy,Positive feedback - Portuguese language,75881.0
GS_49159,@115830 stop with the crazy excess packaging. #waste #environment https://t.co/24Ph7eyF6M,general_inquiry,true,Escalate to feedback team for packaging policy review,medium,Environmental/packaging feedback,49159.0
GS_22193,"@115850 Hi, prime was available for 599/- per year few days back. Can you remind me when it will be back?",prime_membership,false,Provide information about Prime membership pricing and availability,easy,Prime membership pricing inquiry,22193.0
GS_69935,"@115830 I get things delivered to work but your guys often deliver after hours (registered business address). Had a call from the neighbour this morning, my things had been left in his front garden. They'd not seen a courier and I had no card! Could've been rained on or nicked!",delivery_problem,true,Escalate to delivery investigation team - potential lost/misdelivered package,hard,Delivery protocol violation,69935.0
GS_38844,I signed up for Amazon Student Prime JUST IN TIME for school and Christmas. https://t.co/FmgJw2NklJ,prime_membership,false,Confirm Prime Student membership and provide benefits information,easy,Prime membership confirmation,38844.0
GS_121037,@117634 How do i set it so my new dire HD 10 kindle wont download apps and movies i never asked it too? Washington post just downloaded on my device without my permission. Which is against the law in the United states... This is some low level sneaky shit.,product_issue,true,Escalate to technical support for device settings and unwanted downloads,hard,Device settings and privacy concern,121037.0
GS_72489,@115830 why does it take so long to process a return? return_exchange,false,Explain return processing timeline and provide status,easy,Return timeline inquiry,72489.0
